TCP connect to 144.22.209.122:80:
101 iterations (warmup 1) ping test: 
Connecting to 144.22.209.122:80 (warmup): from 10.0.0.150:49950: 51.35ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49951: 51.88ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49952: 50.98ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49953: 55.00ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49954: 52.59ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49955: 50.07ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49956: 49.83ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49957: 50.92ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49958: 51.57ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49959: 52.27ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49960: 51.24ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49961: 51.15ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49962: 51.43ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49963: 49.89ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49964: 51.50ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49965: 52.56ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49966: 51.73ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49967: 52.96ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49968: 49.93ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49969: 49.89ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49970: 51.37ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49971: 54.63ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49972: 51.70ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49973: 51.10ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49974: 49.49ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49975: 49.49ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49976: 49.33ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49977: 50.34ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49978: 50.20ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49979: 51.75ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49980: 50.93ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49981: 51.39ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49982: 51.71ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49983: 51.86ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49984: 53.55ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49986: 54.78ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49987: 52.66ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49989: 50.06ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49990: 48.74ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49991: 51.08ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49992: 50.25ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49994: 50.20ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49995: 48.97ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49996: 50.40ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49997: 49.23ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49998: 51.24ms
Connecting to 144.22.209.122:80: from 10.0.0.150:49999: 49.78ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50000: 49.90ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50001: 49.67ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50002: 51.02ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50003: 51.18ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50004: 49.30ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50005: 50.41ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50006: 50.69ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50007: 49.57ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50008: 50.07ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50009: 52.43ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50010: 50.51ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50011: 52.92ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50012: 50.74ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50013: 50.96ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50014: 49.84ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50015: 49.92ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50016: 50.91ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50017: 50.02ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50018: 51.53ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50019: 51.57ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50020: 49.33ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50021: 49.90ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50022: 49.58ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50023: 50.03ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50024: 50.42ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50025: 49.36ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50026: 50.63ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50027: 51.34ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50028: 51.04ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50029: 50.92ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50030: 50.58ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50031: 50.99ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50032: 51.65ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50033: 52.00ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50034: 52.57ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50035: 51.54ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50036: 52.20ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50037: 50.89ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50038: 49.46ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50039: 61.58ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50040: 50.05ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50041: 50.29ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50042: 54.04ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50043: 52.15ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50044: 51.33ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50046: 49.46ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50047: 49.08ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50048: 51.04ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50049: 50.99ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50050: 49.07ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50051: 49.79ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50053: 51.49ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50054: 49.42ms
Connecting to 144.22.209.122:80: from 10.0.0.150:50055: 49.81ms

TCP connect statistics for 144.22.209.122:80:
  Sent = 100, Received = 100, Lost = 0 (0% loss),
  Minimum = 48.74ms, Maximum = 61.58ms, Average = 51.01ms
